Year,Quarter,AgriProdIdx_Weighted_Quarterly
2015,Q1,246.46988871880546
2015,Q2,10.227978474028648
2015,Q3,162.32908341138017
2015,Q4,9.888340745535523
2016,Q1,232.3768655440446
2016,Q2,10.491099486678127
2016,Q3,142.54564304421152
2016,Q4,12.757201106077433
2017,Q1,173.2793165131438
2017,Q2,14.021686058482981
2017,Q3,103.11154672612996
2017,Q4,12.385291335026183
2018,Q1,216.85774859722432
2018,Q2,10.390524976803087
2018,Q3,125.55516627077498
2018,Q4,9.985371483770246
2019,Q1,257.4071007972784
2019,Q2,10.008236842872773
2019,Q3,124.28194904012176
2019,Q4,9.640675004688795
2020,Q1,248.34287461886166
2020,Q2,9.376296094050103
2020,Q3,149.30166714147265
2020,Q4,9.52354415011931
2021,Q1,245.31924404266206
2021,Q2,10.03431076874451
2021,Q3,179.65537973025704
2021,Q4,10.892466047685195
2022,Q1,182.1359626555847
2022,Q2,11.291973431636828
2022,Q3,134.90617425063246
2022,Q4,10.54565353392138
2023,Q1,220.98707242885496
2023,Q2,9.610178230254752
2023,Q3,140.33556492023843
2023,Q4,9.288297423357585
2024,Q1,208.61546411749163
2024,Q2,9.247575554043078
2024,Q3,151.04019446893324
2024,Q4,9.234958101184883
